,name,S,SW,W,NW,N,NE,E,SE
0,A1,1,1,1,0,0,0,0,0
1,A2,1,1,1,0,0,0,0,0
2,A3,1,1,1,0,0,0,0,0
3,A4,0,1,0,0,0,0,0,0
4,A5,0,1,0,0,0,0,0,0
5,A6,0,1,0,0,0,0,0,0
6,B1,1,1,1,0,0,0,0,0
7,B2,1,1,1,0,0,0,0,0
8,B3,1,1,1,0,0,0,0,0
9,B4,0,1,0,0,0,0,0,0
10,B5,0,1,0,0,0,0,0,0
11,B6,0,1,0,0,0,0,0,0
12,C1,1,1,0,0,0,0,0,0
13,C2,1,1,0,0,0,0,0,0
14,C3,1,0,0,0,0,0,0,0
15,C4,0,0,0,0,0,0,0,0
16,C5,0,0,0,0,0,0,0,0
17,C6,0,0,0,0,0,0,0,0
18,D1,1,1,0,0,0,0,0,0
19,D2,1,1,0,0,0,0,0,0
20,D3,1,0,0,0,0,0,0,0
21,D4,0,0,0,0,0,0,0,0
22,D5,0,0,0,0,0,0,0,0
23,D6,0,0,0,0,0,0,0,0
24,E1,1,1,0,0,0,0,0,0
25,E2,1,1,0,0,0,0,0,0
26,E3,1,0,0,0,0,0,0,0
27,E4,0,0,0,0,0,0,0,0
28,E5,0,0,0,0,0,0,0,0
29,E6,0,0,0,0,0,0,0,0
